1	0	1	2	1	33
1	1	58	58	1	33
1	1	66	66	1	33
1	1	80	80	1	33
1	1	127	127	15	15
1	1	175	175	1	33
1	1	349	349	1	33
1	1	417	417	29	29
1	1	530	530	13	13
1	1	598	598	25	25
1	1	607	607	33	33
1	1	656	656	12	12
1	1	662	663	18	18
1	1	714	714	1	33
1	1	1003	1003	3	3
1	1	1006	1006	3	3
1	1	1009	1009	32	32
1	0	1023	1024	1	33
2	0	1	2	1	33
2	1	109	109	3	3
2	1	109	109	19	19
2	1	147	148	10	10
2	1	155	155	1	33
2	1	168	168	1	33
2	1	216	216	22	22
2	1	216	216	16	16
2	1	216	216	20	20
2	1	216	216	29	29
2	1	313	313	8	8
2	1	316	316	30	30
2	1	334	334	7	7
2	1	396	397	14	14
2	1	414	414	1	33
2	1	416	416	1	33
2	1	428	429	28	28
2	1	465	465	5	5
2	1	527	528	20	20
2	1	529	529	1	33
2	1	577	578	17	17
2	1	586	586	1	33
2	1	695	695	33	33
2	1	723	723	1	33
2	1	733	733	33	33
2	1	747	747	30	30
2	1	789	789	32	32
2	1	821	821	1	33
2	0	821	833	1	33
2	1	830	830	33	33
2	1	854	854	7	7
2	0	883	899	1	33
2	1	911	912	30	30
2	1	966	966	1	33
2	1	976	976	1	1
2	0	1023	1024	1	33
3	0	1	4	1	33
3	1	112	113	17	17
3	1	124	124	1	33
3	1	184	184	28	28
3	1	350	350	1	33
3	1	451	451	9	9
3	1	537	537	28	28
3	1	560	561	32	32
3	1	567	567	31	31
3	1	607	607	33	33
3	1	645	645	33	33
3	1	700	700	14	14
3	1	723	723	33	33
3	1	768	768	33	33
3	1	792	792	1	33
3	1	817	817	1	33
3	1	862	862	1	33
3	1	873	873	1	33
3	1	900	900	1	33
3	1	978	978	24	24
3	1	992	992	1	33
3	1	994	994	1	33
3	1	996	996	1	33
3	0	1023	1024	1	33
4	0	1	39	1	33
4	1	507	508	1	33
4	1	518	519	1	33
4	1	679	679	26	26
4	1	1020	1020	28	28
4	1	1021	1021	1	33
4	0	1023	1024	1	33
