0	-0.265	0.152	0.250	0.204
1	-0.236	0.238	0.226	0.256
2	-0.131	0.167	0.373	0.229
3	-0.134	0.138	0.340	0.162
4	-0.124	0.028	-0.292	0.048
5	-0.134	0.142	-0.207	0.194
6	0.000	0.000	0.000	0.000
7	-0.111	0.225	0.340	0.189
8	-0.088	0.187	0.322	0.243
9	-0.036	0.280	0.377	0.215
10	-0.076	0.164	0.322	0.161
11	-0.036	0.158	0.332	0.189
12	-0.097	0.103	0.248	0.180
13	-0.146	0.254	0.267	0.254
14	-0.282	0.149	0.293	0.249
15	-0.073	0.293	-0.072	0.184
16	-0.079	0.220	0.358	0.302
17	-0.044	0.313	0.401	0.298
18	-0.015	0.387	0.493	0.297
19	-0.117	0.334	0.489	0.306
20	-0.137	0.262	0.358	0.307
21	-0.033	0.410	0.407	0.333
22	-0.125	0.347	-0.301	0.309
23	-0.086	0.345	0.492	0.333
24	-0.058	0.479	0.556	0.304
25	-0.022	0.475	0.487	0.404
26	-0.050	0.352	0.328	0.290
27	-0.048	0.532	0.486	0.407
28	-0.016	0.398	0.331	0.372
29	0.042	0.458	0.531	0.375
30	-0.177	0.433	0.447	0.285
31	-0.074	0.474	0.439	0.483
32	-0.313	0.550	0.863	0.140
